"","nzreach","LENGTH","ORDER","CLIMATE","GEOLOGY","NET_POSN","DISTSEA","CATCHAREA"
"6026",12032974,739.70563,1,"CX","Al","LO",854.5585,369900
"6027",12033007,464.55844,2,"CX","Al","LO",62575.08,3506400
"6028",12033022,1306.69048,2,"CX","Al","LO",10639.4,1319400
"6029",12033027,3415.58441,1,"CX","Al","LO",5703.229,1475100
"6030",12033242,1271.54329,1,"CX","Al","LO",2488.234,503100
"6031",12033275,414.85281,1,"CX","Al","LO",3764.925,307800
"6032",12033279,1738.23376,2,"CX","Al","LO",18989.91,3482100
"6033",12033298,344.55844,1,"CX","Al","LO",5904.701,321300
"6034",12033491,1743.38095,3,"CX","Al","MO",3071.909,11616300
"6035",12033497,2869.18831,4,"CX","Al","MO",4197.716,58709924
"6036",12033501,828.82251,1,"CX","Al","LO",12027.05,1016100
"6037",12033509,2444.92424,3,"CX","Al","MO",23544.61,31182300
"6038",12033525,222.42641,2,"CX","Al","LO",2510.955,1404900
"6039",12033527,1842.79221,2,"CX","Al","LO",6016.539,3547800
"6040",12033538,3154.62987,1,"CX","Al","LO",8266.905,2018700
"6041",12033568,884.55844,2,"CX","Al","LO",3395.513,817200
"6042",12033581,1995.80736,2,"CX","HS","LO",77195.68,9273600
"6043",12033601,1823.08658,1,"CX","Al","LO",5113.158,1071000
"6044",12033667,1800.3658,2,"CX","HS","LO",74122,5205600
"6045",12033683,3155.87878,2,"CX","Al","LO",25131.96,4157100
"6046",12033684,1123.67532,1,"CX","Al","LO",23099.76,622800
"6047",12033728,2145.80736,1,"CX","SS","LO",12878.59,1581300
"6048",12033758,2008.23376,1,"CX","Al","LO",5080.143,1332900
"6049",12033761,1114.26407,1,"CX","Al","LO",6035.361,617400
"6050",12033807,217.27922,2,"CX","Al","LO",8981.24,1278000
"6051",12033836,2597.93939,2,"CX","Al","LO",8207.788,4247100
"6052",12033890,906.3961,1,"CX","Al","LO",5104.113,702900
"6053",12033949,506.98485,2,"CX","SS","LO",17303.88,2114100
"6054",12033974,259.70563,1,"CX","Al","LO",6726.245,414000
"6055",12034079,839.11688,3,"CX","Al","MO",13942.27,16768800
"6056",12034086,2053.67532,1,"CX","Al","LO",9157.859,907200
"6057",12034095,2981.90909,2,"CX","Al","LO",9448.448,2563200
"6058",12034161,639.41125,5,"CX","Al","HO",14304.4,75915904
"6059",12034177,1046.98485,3,"CX","Al","MO",14711.97,11719800
"6060",12034358,2177.93939,1,"CX","Al","LO",13300.36,1730700
"6061",12034417,674.55844,4,"CX","Al","MO",8504.772,36246600
"6062",12034418,1533.38095,2,"CX","Al","LO",11387.64,2259900
"6063",12034488,1573.67532,5,"CX","Al","HO",22741.89,56151900
"6064",12034581,144.85281,2,"CX","Al","LO",11532.49,1232100
"6065",12034601,1111.24892,1,"CX","Al","LO",12643.74,931500
"6066",12034795,1013.9697,2,"CX","Al","LO",32799.75,3521700
"6067",12034860,2382.79221,3,"CX","Al","MO",17358.73,8893800
"6068",12035062,2167.64502,2,"CX","Pl","LO",32244.31,2061900
"6069",12035093,4073.45238,1,"CX","Al","LO",17143.22,1724400
"6070",12035237,1144.26407,1,"CX","HS","LO",32929.16,424800
"6071",12035310,192.42641,1,"CX","Al","LO",22028.81,245700
"6072",12035322,72.42641,1,"CX","Al","LO",22553.37,250200
"6073",12035323,2903.08658,3,"CX","Al","MO",19539.32,19467000
"6074",12035342,644.55844,4,"CX","Al","MO",22480.94,20092500
"6075",12035378,356.98485,4,"CX","Al","MO",23502.19,18085500
"6076",12035429,240,1,"CX","HS","LO",33508.57,272700
"6077",12035454,127.27922,1,"CX","Al","LO",33515.85,356400
"6078",12035768,1053.38095,4,"CX","HS","MO",2758.6,99644648
"6079",12035794,1900.66017,3,"CX","Al","MO",23020.05,13205700
